Artist,Title,CANADA,PETEB
Alessia Cara,Fire,"3,657",21
Alex Sampson,Pretty Baby,"24,009",46
Alex Warren,Burning Down,"371,251","1,129"
Alex Warren,Ordinary,"2,393,753","4,694"
Alexander Stewart,His Problem Instead,"10,910",14
Ariana Grande,Twilight Zone,"189,415",295
Ariana Grande,"Yes, And?","112,025",244
Avril Lavigne,Young & Dumb,"22,923",21
"Benny Blanco, Gracie Abrams, Selena Gomez",Call Me When You Break Up,"56,514",221
Benson Boone,Beautiful Things,"1,342,570","2,333"
Benson Boone,Mystical Magical,"653,449","1,538"
Benson Boone,Slow It Down,"334,297",785
Benson Boone,Sorry I'm Here For Someone Else,"448,760","1,382"
Billie Du Page,Fake Friends,"46,117",6
Billie Eilish,Birds Of A Feather,"913,670","1,636"
Billie Eilish,What Was I Made For?,"292,574",697
Bryan Adams,Never Ever Let You Go,"2,132",6
Cameron Whitcomb,Quitter,"265,167",662
Chappell Roan,"Good Luck, Babe!","587,490","1,230"
Chappell Roan,Pink Pony Club,"952,461","2,515"
Chappell Roan,The Giver,"93,797",320
Charlotte Cardin,Confetti,"148,761",155
Classified,Amnesia,"1,179",4
Damiano David,Born With A Broken Heart,"37,399",66
Dasha,Austin,"495,259","1,266"
"David Guetta, Alphaville & Ava Max",Forever Young,"51,903",77
"David Guetta, Coi Leray, Anne-Marie",Baby Don't Hurt Me,"128,241",177
"David Guetta, Teddy Swims & Tones And I",Gone Gone Gone,"215,143",549
Devon Cole,I Got You,"30,324",76
Doechii,Anxiety,"223,434",474
Dua Lipa,Houdini,"176,322",313
Ed Sheeran,Azizam,"272,965",552
Ed Sheeran,Camera,"217,486",584
Ed Sheeran,Eyes Closed,"79,181",141
"Elton John, Brandi Carlile",Who Believes In Angels?,"7,350",32
Gracie Abrams,Close To You,"244,180",588
Gracie Abrams,That’s So True,"774,318","1,843"
Gwen Stefani,Somebody Else's,"1,874","1,500"
Hozier,Too Sweet,"702,196",475
Jack Harlow,Lovin On Me,"233,853",26
Jamie Fine,Homesick,"24,240",94
Jamie Fine,If Anything's Left,"62,276",38
Jamie Fine,You're Like,"23,437",38
"Jamie Fine, Shawn Desman",Body,"26,993","1,257"
Jelly Roll,I Am Not Okay,"321,084",2
Jonah Marais,Slow Motion,265,239
Jonas Brothers,Love Me To Heaven,"94,715",234
"Josh Ross, Akon",Drunk Right Now,"110,295","1,970"
Justin Bieber,Daisies,"983,821",34
Karan Aujla,Tell Me,"64,739",974
Koe Wetzel & Jessie Murph,High Road,"346,835",734
Lady Gaga,Abracadabra,"365,641",236
Lady Gaga,Disease,"109,146",638
Lady Gaga,The Dead Dance,"272,319","1,556"
"Lady Gaga, Bruno Mars",Die With A Smile,"964,760",280
Lewis Capaldi,Wish You The Best,"132,091",67
Lisa,Moonlit Floor,"55,569",28
Lizzo,Still Bad,"18,028","1,123"
Lola Young,Messy,"559,548",36
Loud Luxury,Crash,"38,432",73
Loud Luxury,Uh Oh!,"49,777",60
Lu Kala,Hotter Now,"38,230",36
Lu Kala,Pretty Girl Era,"21,743",1
Luke Combs,Fast Car,"661,303","1,831"
Mark Ambor,Belong Together,"263,080",582
"Maroon 5, Lisa",Priceless,"28,722",44
Max Mcnown,A Lot More Free,"384,204",991
Meghan Trainor,Criminals,"44,844",159
Miley Cyrus,Flowers,"426,128",756
Miley Cyrus,Used To Be Young,"95,229",244
Morgan Wallen,Love Somebody,"523,007",953
Mumford & Sons,Rushmere,"38,231",117
Myles Smith,Nice To Meet You,"419,583","1,038"
Myles Smith,Stargazing,"670,461","1,561"
Myles Smith,Stay,"132,267",595
Noah Kahan,Stick Season,"715,565","1,930"
Olivia Dean,Man I Need,"2,036,975","3,679"
Onerepublic,Sink Or Swim,"12,938",89
Papa Roach & Carrie Underwood,Leave A Light On,"46,435",138
Paul Russell,Lil Boo Thang,"137,772",297
Pelch,Last Night,"11,965",10
"Post Malone, Morgan Wallen",I Had Some Help,"892,194","2,211"
Preston Pablo,Dance Alone,"34,330",73
Preston Pablo,For Keeps,"7,839",16
Preston Pablo,One Last Song,"5,635",24
Ravyn Lenae,Love Me Not,"953,462","2,113"
Ręve,Contemporary Love,"8,315",34
Ręve,Whitney,"11,989",24
"Rosé, Bruno Mars",Apt.,"847,247","1,433"
Sabrina Carpenter,Espresso,"667,954","1,151"
Sabrina Carpenter,Feather,"252,447",510
Sabrina Carpenter,Manchild,"909,345","2,173"
Sabrina Carpenter,Please Please Please,"435,011","1,016"
Sabrina Carpenter,Taste,"485,649","1,225"
Sabrina Carpenter,Tears,"744,152","1,949"
Sam Drysdale,Cold Water,"5,553",4
Shaboozey,A Bar Song (tipsy),"1,170,136","2,565"
Shaboozey,Good News,"588,104","2,427"
"Shaboozey, Jelly Roll",Amen,"355,300","1,981"
Shawn Mendes,Why Why Why,"73,276",165
Sofia Camara,Girls Like You,"50,856",61
Sombr,Undressed,"750,760","1,821"
Tate Mcrae,It's Ok I'm Ok,"479,899",895
Tate Mcrae,Sports Car,"828,878","1,531"
Taylor Swift,Cruel Summer,"414,326",909
Taylor Swift,The Fate Of Ophelia,"3,430,505","6,370"
Teddy Swims,Bad Dreams,"555,253","1,227"
Teddy Swims,Guilty,"39,856",48
Teddy Swims,Lose Control,"1,221,312","1,893"
Teddy Swims,The Door,"721,835","1,209"
Tedy,I Hope,"14,240",20
The Strumbellas,Hold Me,"7,908",18
The Weeknd,Cry For Me,"348,270",511
The Weeknd,Dancing In The Flames,"151,489",149
Tyler Shaw,Back To Me,"2,123",4
