"Published Chart",,,,,,,,,,,,,,,,,,,,,,,,
22,51,59,,MARIE-MAI,"Combien De Temps",Spectra,Yes,10,59,66,-7,0,4,5,0,50,0.075,0.141,-0.066,68,46,10,0,10,5.9,6.6,-0.7,52,59,92,9,-,-,59,-,-,-,-
31,62,60,Yes,DASHA,Austin,Warner/WMN,,-,55,40,15,30,4,15,6,0,0.197,0.136,0.061,41,48,12,2,12,4.6,3.3,1.3,73,25,58,25,-,-,60,-,-,578,105
47,57,61,Yes,"SIENNA SPIRO","Die On This Hill",Capitol/ICLG,,-,51,48,3,10,4,14,5,18,0.066,0.070,-0.004,72,68,12,0,12,4.3,4.0,0.3,59,41,60,23,17,40,61,-,-,165,91
49,49,62,,"NIALL HORAN","Dinner Party",Capitol/ICLG,,-,48,73,-25,14,5,13,5,11,0.069,0.069,0.000,71,69,9,0,9,5.3,8.1,-2.8,64,34,61,23,-,317,62,-,-,-,-
31,34,63,,SHAKIRA,Zoo,"Walt Disney",,-,48,125,-77,18,6,18,0,6,0.195,0.673,-0.478,43,24,6,0,6,8.0,20.8,-12.8,66,30,59,24,-,-,63,-,-,-,-
12,58,64,,"RAVYN LENAE","Love Me Not",ThreeTwentyThree/Atlantic,,11,45,46,-1,18,7,11,3,6,0.064,0.076,-0.012,77,66,6,1,6,4.5,4.6,-0.1,70,27,62,21,-,-,64,-,-,-,682
39,64,65,Yes,"CLAY AND FRIENDS","Bouge Ton Thang","ADJ S.E.N.C.",Yes,-,37,37,0,0,11,6,0,20,0.125,0.159,-0.034,50,44,12,0,12,3.1,3.1,0.0,60,37,67,17,-,180,65,-,-,-,-
61,61,66,,"KING MELROSE",Million,Warner,Yes,-,37,40,-3,1,6,0,0,30,0.065,0.102,-0.037,74,55,6,0,6,6.2,6.7,-0.5,61,36,98,6,-,160,66,-,-,-,-
60,77,67,Yes,2FRERES,"Nos Souvenirs","MP3 Disques",Yes,-,36,25,11,0,12,0,0,24,0.090,0.033,0.057,60,97,12,0,12,3.0,2.1,0.9,62,36,81,12,-,219,67,-,-,-,-
65,68,68,Yes,"ZARA LARSSON","Midnight Sun","Sommer House/Epic",,-,36,34,2,6,10,6,4,10,0.043,0.040,0.003,105,89,2,0,2,18.0,17.0,1.0,67,30,63,20,12,41,68,-,-,-,72
56,72,69,Yes,LAURIE,"Tu Me L'As Dit",KS,Yes,-,34,28,6,0,0,0,0,34,0.038,0.022,0.016,110,119,8,0,8,3.8,3.1,0.7,63,34,207,0,-,-,69,-,-,-,-
30,55,70,,CLODELLE,"I Lost My Baby",Coyote,Yes,-,33,56,-23,0,3,6,0,24,0.083,0.188,-0.105,65,40,12,0,12,2.8,4.7,-1.9,65,33,93,9,-,142,70,-,-,-,-
60,70,71,,SOMBR,"12 To 12",Warner,,-,32,33,-1,10,6,6,4,6,0.035,0.041,-0.006,113,88,2,0,2,16.0,16.5,-0.5,81,22,68,16,99,117,71,-,-,5,270
47,56,72,,"VIRGINIA TO VEGAS","Million Ways",Wax,Yes,-,31,51,-20,9,3,8,5,6,0.005,0.029,-0.024,222,104,2,0,2,7.8,12.8,-5.0,82,22,69,16,-,116,72,-,-,-,516
73,117,73,Yes,"PINEO & LOEB X JRDN",Spin,Westwood,Yes,-,30,12,18,6,8,2,6,8,0.034,0.015,0.019,117,137,2,0,2,15.0,6.0,9.0,78,24,70,16,24,90,73,-,-,-,163
31,80,74,Yes,"MORGAN WALLEN","Last Night","Big Loud/Mercury/Republic",,-,30,24,6,14,1,7,6,2,0.109,0.157,-0.048,56,45,13,0,13,2.1,1.7,0.4,98,16,74,14,1120,637,74,85,-,-,500
75,76,75,Yes,"MILEY CYRUS","Younger You",Hollywood,,-,30,25,5,1,4,13,9,3,0.085,0.077,0.008,63,64,18,6,18,1.3,1.0,0.2,68,29,55,26,278,39,75,-,-,-,-
74,74,76,Yes,"JAMIE FINE","cups of coffee","ADA Canada",,-,30,26,4,7,6,5,3,9,0.000,0.000,0.000,262,232,1,0,1,30.0,26.0,4.0,79,23,75,14,36,50,76,-,-,-,636
66,92,77,Yes,KYGO,"Say Say Say",Kygo/RCA,,-,29,18,11,18,0,11,0,0,0.077,0.051,0.026,67,79,6,0,6,4.8,3.0,1.8,128,11,86,11,-,-,77,-,-,-,-
75,75,78,Yes,"ELIJAH WOODS","So Good",Independent,Yes,-,27,25,2,7,2,7,3,8,0.000,0.000,0.000,275,273,1,0,1,27.0,25.0,2.0,86,20,82,12,34,74,78,-,-,-,781
46,71,79,,RENFORSHORT,"feeling good",Nettwerk,Yes,-,27,29,-2,9,2,5,4,7,0.000,0.000,0.000,271,254,1,0,1,27.0,29.0,-2.0,96,18,87,11,-,-,79,-,-,-,-
53,83,80,Yes,MAYFLY,"Chats Sauvages",Duprince,Yes,-,26,22,4,0,0,7,6,13,0.118,0.055,0.063,53,74,12,0,12,2.2,1.8,0.3,71,26,77,13,-,-,80,-,-,-,-
39,69,81,,"EMMANUELLE QUERRY","Entre Nous","Big In The Garden",Yes,-,26,34,-8,0,1,0,0,25,0.021,0.031,-0.010,145,100,10,0,10,2.6,3.4,-0.8,72,26,177,1,-,-,81,-,-,-,-
81,81,82,Yes,"VERONIQUE BILODEAU",Pyromane,Indépendant,Yes,-,25,23,2,0,0,0,0,25,0.003,0.003,0.000,237,193,4,0,4,6.3,5.8,0.5,74,25,208,0,-,-,82,-,-,-,-
83,-,83,Yes,"ZACH SCOTT","Sur La Route",Coyote,Yes,-,24,0,24,0,0,0,0,24,0.037,0.000,0.037,112,257,6,6,6,4.0,0.0,4.0,75,24,209,0,-,-,83,-,-,-,-
71,111,84,Yes,"MIKE CLAY",Magnifique,117,Yes,-,24,13,11,0,0,0,6,18,0.074,0.012,0.062,69,141,6,0,6,4.0,2.2,1.8,77,24,99,6,-,-,84,-,-,-,-
41,93,85,Yes,"LOU-ADRIANE CASSIDY","On N'Arrete Pas","Bravo Musique",Yes,-,24,18,6,0,1,0,0,23,0.046,0.028,0.018,90,108,6,0,6,4.0,3.0,1.0,76,24,178,1,-,222,85,-,-,-,-
57,82,86,Yes,"JOHN FELLNER","Broke Skin","Hidden Pony/Slaight",Yes,-,24,22,2,6,4,2,6,6,0.027,0.029,-0.002,133,103,2,0,2,12.0,11.0,1.0,88,18,83,12,-,140,86,-,-,-,664
64,129,87,Yes,MAHEJA,"Une Seconde.",Soluté,Yes,-,23,12,11,0,0,0,0,23,0.030,0.019,0.011,120,125,6,0,6,3.8,2.0,1.8,80,23,210,0,-,61,87,-,-,-,-
43,100,88,Yes,KATSEYE,Gabriela,HYBE/Geffen/ICLG,,-,23,18,5,7,2,9,4,1,0.090,0.047,0.043,61,81,8,0,8,1.9,1.5,0.4,101,16,72,15,-,72,88,-,-,-,-
51,73,89,,"TATE MCRAE","Revolving door","Sony Music Canada",,-,23,27,-4,2,6,2,5,8,0.028,0.026,0.002,130,113,2,0,2,11.5,13.5,-2.0,84,21,78,13,-,-,89,-,-,-,210
90,246,90,Yes,ONEREPUBLIC,"Need Your Love",BMG,,-,22,2,20,1,1,10,2,8,0.054,0.010,0.044,84,148,16,15,16,1.4,0.1,1.3,83,21,79,13,29,104,90,-,-,519,425
16,79,91,,"SABRINA CARPENTER",Tears,Island/Republic,,12,22,24,-2,8,2,3,6,3,0.026,0.030,-0.004,135,101,3,0,3,7.3,8.0,-0.7,112,14,88,11,-,-,91,-,-,-,-
53,86,92,Yes,"LEON THOMAS",MUTT,Motown/ICLG,,-,20,20,0,0,4,6,8,2,0.065,0.065,0.000,75,72,12,0,12,1.7,1.7,0.0,85,20,65,18,-,62,92,-,-,-,-
44,78,93,,"BRYAN ADAMS","Never Ever Let You Go",Coady./Platoon/Bad,Yes,-,20,24,-4,5,3,3,6,3,0.037,0.041,-0.004,111,87,3,0,3,6.7,8.0,-1.3,108,15,84,12,-,-,93,-,99,-,-
43,65,94,,"HAVIAH MIGHTY","Lucky f/Shantel May","Mighty Gang Inc",Yes,-,20,35,-15,4,6,2,2,6,0.022,0.034,-0.012,140,96,2,0,2,10.0,17.5,-7.5,99,16,91,10,-,149,94,-,-,-,609
90,90,95,Yes,"DOMINIC FIKE",Babydoll,Columbia,,-,19,19,0,0,2,6,10,1,0.064,0.036,0.028,76,92,12,0,12,1.6,1.6,0.0,87,19,66,18,38,66,95,-,-,63,699
41,135,96,Yes,CHARLIE-ROSE,Olivia,Indépendant,Yes,-,18,10,8,0,0,0,0,18,0.028,0.011,0.017,127,146,6,0,6,3.0,1.7,1.3,92,18,211,0,-,-,96,-,-,-,-
21,118,97,Yes,"ANDREANNE A. MALETTE","Le Reste Du Temps","Productions NIA",Yes,16,18,12,6,0,0,6,0,12,0.065,0.019,0.046,73,126,6,0,6,3.0,2.0,1.0,89,18,100,6,-,-,97,-,-,-,-
75,127,98,Yes,"MARIEME, CLODELLE & IMPOSS",DELULU,Coyote,Yes,-,18,12,6,0,0,0,0,18,0.028,0.019,0.009,129,127,6,0,6,3.0,2.0,1.0,93,18,212,0,-,-,98,-,-,-,-
75,128,99,Yes,"CLASSE MOYENNE & RYMZ","Au Fond Des Bois","Disques NOW",Yes,-,18,12,6,0,0,0,0,18,0.028,0.019,0.009,128,123,6,0,6,3.0,2.0,1.0,90,18,213,0,-,45,99,-,-,-,-
68,97,100,Yes,"JAY TREPANIER","Toi & Moi",Coyote,Yes,-,18,18,0,0,0,0,0,18,0.028,0.028,0.000,132,111,6,0,6,3.0,3.0,0.0,95,18,214,0,-,123,100,-,-,-,-
93,96,101,Yes,ARIELLE,"Danser Pour Oublier",Indépendant,Yes,-,18,18,0,0,0,0,0,18,0.028,0.028,0.000,125,105,6,0,6,3.0,3.0,0.0,94,18,215,0,-,-,101,-,-,-,-
81,95,102,Yes,ASWELL,"Last Name",Loyseau,Yes,-,18,18,0,0,0,0,0,18,0.028,0.028,0.000,126,106,6,0,6,3.0,3.0,0.0,91,18,216,0,-,75,102,-,-,-,-
55,140,103,Yes,"CHARLIE PUTH",Changes,Atlantic,,-,17,9,8,2,1,6,8,0,0.063,0.021,0.042,78,122,11,8,11,1.5,0.8,0.7,104,15,73,15,-,155,103,-,-,-,-
67,98,104,,"VAAN THIBZ","Ou Vas-Tu?","Agence 49e Parallèle",Yes,-,17,18,-1,0,0,0,0,17,0.028,0.028,0.000,131,110,6,0,6,2.8,3.0,-0.2,97,17,217,0,-,-,104,-,-,-,-
88,88,105,,"LAURENCE ST-MARTIN","Seche Tes Pleurs","Prod Véronique Labbé",Yes,-,16,19,-3,0,2,0,0,14,0.005,0.006,-0.001,218,174,4,0,4,4.0,4.8,-0.8,100,16,150,2,-,55,105,207,-,-,-
103,209,106,Yes,"BEBE REXHA","New Religion",EMPIRE,,-,15,6,9,0,0,1,7,7,0.045,0.012,0.033,103,144,14,9,14,1.0,0.4,0.6,105,15,95,8,33,191,106,-,-,-,-
107,136,107,Yes,"PAPA ROACH","Wake Up Calling","New Noize/ADA",,-,15,9,6,0,4,2,1,8,0.027,0.040,-0.013,134,90,10,1,10,1.5,0.9,0.6,102,15,96,7,-,192,107,-,6,156,305
104,104,108,Yes,"MEGAN MORONEY","Wish I Didn't",SMN/Columbia,,-,15,15,0,0,5,2,7,1,0.055,0.055,0.000,83,75,10,0,10,1.5,1.5,0.0,103,15,76,14,-,200,108,144,-,-,-
102,105,109,Yes,MAX,"The Thing I Love f/AndyGrammer","Hundred Days/Virgin",,-,15,15,0,0,4,2,7,2,0.052,0.052,0.000,85,77,10,0,10,1.5,1.5,0.0,106,15,80,13,-,60,109,-,-,-,-
72,106,110,Yes,RYMZ,Goodbye,"Joy Ride",Yes,-,15,15,0,0,1,0,0,14,0.004,0.004,0.000,232,186,4,0,4,3.8,3.8,0.0,107,15,179,1,-,69,110,-,-,-,-
111,221,111,Yes,"SHAWN HOOK","Dear Mr. Brown","Infinity & Recordings",Yes,-,14,5,9,2,2,6,3,1,0.048,0.021,0.027,86,120,3,2,3,4.7,1.7,3.0,120,12,89,11,100,101,111,-,-,-,-
81,94,112,,LOVA,Type,"Joy Ride",Yes,-,14,18,-4,0,0,0,0,14,0.019,0.028,-0.009,151,109,6,0,6,2.3,3.0,-0.7,111,14,218,0,-,383,112,-,-,-,-
89,89,113,,AUJO,"Trop Flou","J Smile",Yes,-,14,19,-5,0,1,0,0,13,0.003,0.005,-0.002,236,175,4,0,4,3.5,4.8,-1.3,110,14,180,1,-,-,113,-,-,-,-
85,85,114,,NAOMI,"Pleurer Sur Le Dancefloor","Bravo Musique",Yes,-,14,20,-6,0,1,0,0,13,0.003,0.005,-0.002,240,180,4,0,4,3.5,5.0,-1.5,109,14,181,1,-,-,114,-,-,-,-
70,99,115,,"CLAUDE BEGIN","Dans La Foule",Coyote,Yes,-,13,18,-5,0,0,0,0,13,0.019,0.028,-0.009,148,107,6,0,6,2.2,3.0,-0.8,113,13,219,0,-,88,115,-,-,-,-
28,-,116,Yes,CORNEILLE,"Notre Annee (2024) f/LN",Musicor,Yes,1,12,0,12,0,6,0,0,6,0.043,0.000,0.043,104,217,6,6,6,2.0,0.0,2.0,119,12,101,6,-,-,116,-,-,-,-
117,-,117,Yes,AMIR,"A l'imparfaite","Warner Music Canada",,-,12,0,12,0,0,0,0,12,0.019,0.000,0.019,147,208,6,6,6,2.0,0.0,2.0,124,12,220,0,-,-,117,-,-,-,-
114,-,118,Yes,"ANNIE VILLENEUVE","Etre Moi","Inspire Musique",Yes,-,12,0,12,0,0,0,0,12,0.016,0.000,0.016,156,271,6,6,6,2.0,0.0,2.0,121,12,221,0,-,-,118,-,-,-,-
26,261,119,Yes,"TEDDY SWIMS",Guilty,Warner,,4,12,2,10,12,0,0,0,0,0.009,0.001,0.008,191,205,6,4,6,2.0,0.3,1.7,273,0,222,0,-,-,119,-,-,-,-
30,217,120,Yes,"BENSON BOONE","In The Stars",Warner,,-,12,5,7,0,0,0,9,3,0.073,0.025,0.048,70,115,6,2,6,2.0,0.8,1.2,114,12,94,9,-,500,120,-,-,-,-
43,208,121,Yes,"LOST FREQUENCIES, CALUM SCOTT","Where Are You Now",Capitol-RCA,,-,12,6,6,0,0,6,6,0,0.092,0.046,0.046,59,85,6,0,6,2.0,1.0,1.0,118,12,85,12,-,227,121,-,-,-,-
67,207,122,Yes,"PAPI JAY","Pleurs Dans La Pluie",STE-4,Yes,-,12,6,6,0,0,0,0,12,0.016,0.025,-0.009,155,116,6,0,6,2.0,1.0,1.0,116,12,223,0,-,-,122,-,-,-,-
114,115,123,Yes,ZAZ,"Mon Sourire",Audiogram,Yes,-,12,12,0,0,6,0,0,6,0.043,0.019,0.024,107,130,6,0,6,2.0,2.0,0.0,117,12,102,6,-,357,123,-,-,-,-
80,112,124,,"SARAH VANDERZON","Fortune Teller","Universal Music Canada",Yes,-,12,13,-1,0,1,0,0,11,0.003,0.004,-0.001,241,192,4,0,4,3.0,3.3,-0.3,122,12,182,1,-,310,124,78,-,-,-
45,107,125,,"LA ZARRA","Tu T'En Iras","Universal Music Canada",Yes,-,12,14,-2,0,0,0,6,6,0.055,0.076,-0.021,82,65,6,0,6,2.0,2.3,-0.3,123,12,103,6,-,-,125,-,-,-,-
42,109,126,,KAYLEM,"Passer Par La",Coyote,Yes,-,12,14,-2,0,0,0,0,12,0.019,0.019,0.000,150,124,6,0,6,2.0,2.3,-0.3,115,12,224,0,-,106,126,-,-,-,-
